Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10uF,C_1206_3216Metric_nosilk,43.500000,44.900000,0.000000,bottom
C5,10uF,C_1206_3216Metric_nosilk,20.500000,39.700000,0.000000,bottom
C8,220uF 25V,CP_Radial_D8.0mm_P3.50mm,17.200000,46.300000,205.000000,bottom
C13,100uF 6.3V,CP_EIA-3528-21_Kemet-B,11.800000,43.500000,0.000000,bottom
C14,10uF,C_1206_3216Metric_nosilk,11.000000,46.500000,180.000000,bottom
D2,ZMM15-M,D_MiniMELF,17.000000,19.600000,0.000000,bottom
D3,ZMM15-M,D_MiniMELF,43.000000,25.500000,180.000000,bottom
D7,SMBJ26A,D_SMB_Handsoldering,43.500000,16.750000,270.000000,bottom
D8,SS34,D_SMA,23.000000,15.000000,90.000000,bottom
D9,SS34,D_SMA,49.750000,33.750000,0.000000,bottom
D10,SS34,D_SMA,23.000000,7.500000,90.000000,bottom
D11,SS34,D_SMA,57.750000,33.750000,0.000000,bottom
D12,SS34,D_SMA,21.375000,22.500000,180.000000,bottom
D13,SS34,D_SMA,40.750000,28.500000,180.000000,bottom
D16,SMBJ5.0A,D_SMB_Handsoldering,17.700000,33.700000,270.000000,bottom
D17,ZMM15-M,D_MiniMELF,32.250000,20.000000,0.000000,bottom
D18,ZMM15-M,D_MiniMELF,43.000000,40.250000,180.000000,bottom
D21,SS34,D_SMA,39.250000,15.500000,90.000000,bottom
D22,SS34,D_SMA,46.600000,48.100000,0.000000,bottom
D23,SS34,D_SMA,40.500000,10.100000,0.000000,bottom
D24,SS34,D_SMA,53.750000,48.100000,0.000000,bottom
D25,SS34,D_SMA,34.250000,23.500000,180.000000,bottom
D26,SS34,D_SMA,39.400000,48.100000,180.000000,bottom
D32,BZX84C3V3S-7-F,SOT-23_nosilk,31.800000,42.600000,270.000000,bottom
D33,BZX84C3V3S-7-F,SOT-23_nosilk,28.300000,42.600000,270.000000,bottom
D34,BZX84C3V3S-7-F,SOT-23_nosilk,29.700000,46.700000,90.000000,bottom
D35,BZX84C3V3S-7-F,SOT-23_nosilk,25.500000,47.700000,180.000000,bottom
D36,SS34,D_SMA,11.700000,39.600000,0.000000,bottom
F1,2920L700/12,Fuse_2920_7451Metric_nosilk,50.800000,4.000000,180.000000,bottom
F2,2920L200DR,Fuse_2920_7451Metric_nosilk,15.900000,4.000000,0.000000,bottom
F3,2920L200DR,Fuse_2920_7451Metric_nosilk,60.800000,26.800000,270.000000,bottom
F4,2920L200DR,Fuse_2920_7451Metric_nosilk,31.500000,4.000000,0.000000,bottom
F5,2920L200DR,Fuse_2920_7451Metric_nosilk,60.800000,42.000000,270.000000,bottom
Q1,NCE60P12K,TO-252-2_nosilk,53.500000,12.900000,270.000000,bottom
